    time  asom11tosom21  asom12tosom22  asom12tosom3  asom21tosom11  asom21tosom22  asom22tosom12  asom22tosom3  asom3tosom12  ametc1tosom11  ametc2tosom12  astruc1tosom11  astruc1tosom21  astruc2tosom12  astruc2tosom22  awood1tosom11  awood1tosom21  awood2tosom11  awood2tosom21  awood3tosom12  awood3tosom22
 1924.00    0.081952      6.510989      0.113811      0.000418      0.002578      4.215744      0.045453      1.085426      0.639450      5.592696      0.084529      0.048881      0.876895      0.472889      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  
 1925.00    0.009660      4.496899      0.078614      0.000065      0.000399      4.375435      0.047175      1.151035      0.037938      2.304389      0.005878      0.003577      0.681488      0.363505      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  
 1926.00    0.020369      6.138253      0.108358      0.000123      0.000758      3.819064      0.041176      1.026858      0.249387      4.824014      0.025687      0.015426      0.852163      0.459378      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  
 1927.00    0.003956      3.805498      0.066227      0.000018      0.000111      3.332950      0.035935      0.911793      0.035808      2.556798      0.003991      0.002551      0.592712      0.318421      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  
 1928.00    0.017367      5.949534      0.106460      0.000072      0.000447      3.773010      0.040679      1.049878      0.250125      4.286432      0.025560      0.015628      0.866585      0.466196      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  
 1929.00    0.011085      4.054688      0.070337      0.000046      0.000283      3.955270      0.042644      1.125973      0.083002      2.221614      0.009384      0.006036      0.609122      0.327632      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  
 1930.00    0.023666      5.760282      0.101161      0.000119      0.000735      3.549852      0.038273      1.030897      0.280108      4.404783      0.027815      0.016907      0.801951      0.434350      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  
 1931.00    0.003088      4.209563      0.074422      0.000016      0.000099      3.863866      0.041659      1.145188      0.020406      2.605588      0.002216      0.001449      0.646767      0.350864      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  
 1932.00    0.029333      6.791657      0.119209      0.000175      0.001080      4.228613      0.045592      1.280979      0.306345      4.860804      0.037040      0.021124      0.932551      0.507627      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  
 1933.00    0.013895      4.391606      0.077813      0.000074      0.000456      4.261261      0.045944      1.325062      0.089205      2.386496      0.012475      0.007419      0.688984      0.364206      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  
